ASN00091286,20170503,PRCP,0,,,a,
USW00013766,20170520,TMAX,222,,,7,1700
USW00014941,20170526,AWND,46,,,W,
US1MTMS0012,20170504,SNOW,0,,,N,
US1ILRI0018,20170517,PRCP,0,,,N,
USC00292510,20170503,PRCP,0,,,7,1730
USS0021F21S,20170503,PRCP,0,,,T,
CHM00057461,20170521,TMIN,195,,,S,
USC00484925,20170511,TMIN,-6,,,7,600
USS0013D19S,20170513,TOBS,-57,,,T,
USC00208774,20170501,SNWD,0,,,7,700
CA006025205,20170530,SNWD,0,,,C,
USC00307749,20170513,PRCP,0,T,,7,700
KR000091610,20170531,TAVG,293,H,,S,
US1NJWR0034,20170520,PRCP,0,T,,N,
NLE00152494,20170518,TMIN,123,,,E,
ASN00017098,20170520,PRCP,0,,,a,
COM00080084,20170508,TAVG,288,H,,S,
TH000048405,20170502,TMAX,368,,,S,
US1FLCY0005,20170507,PRCP,0,,,N,
US1MOCF0001,20170514,SNOW,0,,,N,
US1AZPM0281,20170517,PRCP,0,,,N,
USC00468777,20170528,SNWD,0,,,7,
USS0006M23S,20170527,TMIN,0,,,T,
US1NJOC0063,20170515,PRCP,53,,,N,
US1ALMB0071,20170530,PRCP,46,,,N,
US1WYJN0014,20170522,SNOW,0,,,N,
ASN00083090,20170510,PRCP,0,,,a,
USC00403447,20170523,WSFG,72,,,7,
US1NMDA0117,20170513,SNOW,0,,,N,
JA000047684,20170517,TMAX,229,,,S,
US1IAPK0088,20170524,PRCP,76,,,N,
USC00358246,20170518,TOBS,6,,,7,830
USR0000TMEI,20170506,TAVG,98,,,U,
CA005030203,20170501,PRCP,0,,,C,
CA004061632,20170526,TMIN,45,,,C,
FIE00144557,20170521,PRCP,0,,,E,
CA006049470,20170505,TMIN,-22,,,C,
US1FLLN0059,20170526,PRCP,3,,,N,
ASN00038005,20170509,PRCP,0,,,a,
US1NCCB0024,20170505,PRCP,279,,,N,
USC00214990,20170522,TOBS,67,,,7,700
USC00126160,20170507,SNOW,0,,,7,
USC00348563,20170516,PRCP,0,,,7,700
AYM00089057,20170526,TMIN,-105,,,S,
USC00142980,20170530,EVAP,97,,,7,800
USC00291286,20170514,SNOW,0,,,7,
FMW00040308,20170526,SNWD,0,,,W,
USC00365212,20170520,SNWD,0,,,7,
USC00215089,20170515,PRCP,0,,,7,700
USS0011K31S,20170522,TOBS,67,,,T,
US1CORT0022,20170518,SNOW,241,,,N,
USC00416893,20170508,PRCP,0,,,7,800
ASN00048245,20170503,PRCP,0,,,a,
USW00004201,20170528,WDF2,360,,,W,
USC00030458,20170520,TMAX,272,,,7,800
US1TXBXR133,20170504,PRCP,0,,,N,
NOM00001114,20170516,TAVG,79,H,,S,
USC00450456,20170519,TOBS,183,,,7,1700
US1ORJC0005,20170513,PRCP,8,,,N,
USC00333029,20170520,TMAX,283,,,7,800
USC00450844,20170530,SNWD,0,,,7,700
USC00317400,20170504,PRCP,0,,,7,800
USC00410176,20170524,TMAX,317,,,7,
USS0015K04S,20170527,TAVG,97,,,T,
USC00505733,20170514,WDMV,111,,,7,
USS0015F09S,20170517,TAVG,2,,,T,
USW00014740,20170505,PRCP,391,,,W,2400
USW00094949,20170522,TMIN,117,,,W,2400
US1MNDK0063,20170514,PRCP,0,,,N,
USC00417841,20170527,PRCP,0,,,7,700
USR0000WDOD,20170522,TMAX,100,H,,U,
CA008400301,20170526,PRCP,8,,,C,
US1COJF0084,20170509,PRCP,251,,,N,
US1CASS0001,20170511,WESD,0,,,N,
USS0009F18S,20170508,TMIN,-15,,,T,
ASN00017115,20170525,PRCP,0,,,a,
USR0000MLTF,20170519,TMIN,44,H,,U,
CA001106200,20170518,TAVG,132,,,C,
US1SDPN0040,20170530,SNOW,0,,,N,
USC00343277,20170503,SX32,178,,,7,2400
CA002100LRP,20170523,TAVG,73,,,C,
USS0015K03S,20170526,TMAX,121,,,T,
US1ORMT0015,20170515,PRCP,28,,,N,
USC00356213,20170529,TMIN,89,,,7,700
USC00199227,20170509,TMIN,22,,,7,800
USC00201150,20170512,SNWD,0,,,7,
RP000098755,20170509,TMAX,308,,,S,
US1COLR1026,20170514,SNOW,0,,,N,
US1TXCMR097,20170508,SNOW,0,,,N,
US1COWE0209,20170513,PRCP,0,,,N,
USW00003102,20170507,AWND,27,,,W,
US1NMCT0007,20170508,PRCP,0,,,N,
USC00387666,20170523,SN52,222,,I,7,800
CA007035666,20170517,TMAX,302,,,C,
USC00142459,20170527,TOBS,150,,,7,700
USC00117952,20170509,PRCP,0,T,,7,700
USW00094971,20170516,AWND,64,,,W,
US1MNSL0107,20170508,SNOW,0,,,N,
USW00013963,20170519,TMIN,183,,,W,2400
NLE00109066,20170503,PRCP,42,,,E,
US1AZYV0034,20170518,PRCP,15,,,N,
NOE00100570,20170521,SNWD,0,,,E,
US1AZPN0065,20170529,PRCP,0,,,N,
US1KSTR0018,20170515,SNOW,0,,,N,
US1KSGO0001,20170514,PRCP,0,,,N,
COM00080097,20170514,TAVG,271,H,,S,
US1MNSL0034,20170508,SNOW,0,,,N,
USC00200106,20170519,PRCP,0,,,7,800
USC00214103,20170524,TMIN,50,,,7,800
USC00336118,20170502,TOBS,78,,,7,800
USW00094963,20170529,WDF5,310,,,W,
CA008204402,20170523,WSFG,0,,,C,
USS0022E11S,20170520,TAVG,134,,,T,
SPE00156594,20170530,PRCP,0,,,E,
USW00063871,20170527,WSF2,40,,,W,
USW00093986,20170507,SNOW,0,,,H,
USW00012987,20170524,TMIN,171,,,R,
USC00410902,20170506,TOBS,89,,,7,700
NOE00109622,20170524,SNWD,0,,,E,
RSM00024136,20170512,TMIN,-28,,,S,
RSM00023405,20170528,SNWD,221,,,S,
USW00014929,20170529,WDF2,320,,,W,
US1GAFN0005,20170518,PRCP,0,,,N,
USC00140682,20170527,TMIN,139,,,7,700
USC00313969,20170523,TMIN,183,,,7,800
MLM00061296,20170516,TAVG,325,H,,S,
US1ORLA0017,20170502,SNOW,0,,,N,
US1CTHR0050,20170518,PRCP,0,,,N,
US1VAIW0017,20170502,PRCP,28,,,N,
US1COEL0048,20170527,PRCP,51,,,N,
USC00263512,20170506,PRCP,0,,,7,1600
US1COMN0001,20170502,SNOW,0,,,N,
ASN00029077,20170503,PRCP,0,,,a,
US1KSDK0047,20170528,PRCP,20,,,N,
MCM00045011,20170509,TAVG,259,H,,S,
USR0000CCOH,20170511,TMAX,200,H,,U,
VQC00677600,20170520,PRCP,0,,,7,800
USC00453529,20170501,PRCP,0,,,7,800
JAM00047772,20170524,TMAX,244,,,S,
US1AZMR0226,20170512,PRCP,0,,,N,
USR0000CCLE,20170524,TMAX,250,H,,U,
US1IACR0007,20170501,PRCP,300,,,N,
USW00053867,20170508,TMIN,94,,,W,
US1NCDV0006,20170508,SNOW,0,,,N,
USW00093837,20170521,TMIN,244,,,W,
USW00053852,20170528,AWND,40,,,W,
USC00174745,20170510,SNWD,0,,,7,700
USS0011K12S,20170527,WESD,660,,,T,
ASN00089085,20170514,TMIN,33,,,a,
SF002394820,20170520,TMIN,58,,,S,
USR0000CLAD,20170510,TMAX,194,H,,U,
USC00046699,20170509,TOBS,167,,,H,700
USC00203391,20170511,SNWD,0,,,7,800
USW00003028,20170512,WDF2,140,,,W,
USC00415193,20170514,PRCP,0,,,7,800
USC00048587,20170525,TMIN,117,,,7,800
CA004022359,20170511,WDFG,7,,,C,
ASN00018040,20170509,PRCP,0,,,a,
USW00013870,20170529,WT01,1,,,W,
USC00283951,20170505,TMIN,50,,,7,700
USC00250001,20170508,SNWD,0,,,7,800
USC00398472,20170505,SNWD,0,,,7,800
USS0018D19S,20170512,SNWD,813,,,T,
US1NMSN0086,20170518,PRCP,0,,,N,
US1UTSL0018,20170519,SNWD,0,,,N,
ASN00055253,20170525,PRCP,0,,,a,
USC00334770,20170511,PRCP,0,,,7,700
US1ALMS0019,20170503,PRCP,0,,,N,
ECM00084226,20170503,TMAX,188,,,S,
CHM00057957,20170520,TMIN,212,,,S,
CA007025442,20170509,WDFG,0,,,C,
ASN00047029,20170509,PRCP,0,,,a,
ASN00091219,20170516,PRCP,0,,,a,
USW00024222,20170514,TMIN,78,,,W,
USC00253461,20170523,SNWD,0,,,7,700
US1WIWW0001,20170515,SNOW,0,,,N,
ASN00094041,20170516,TMIN,71,,,a,
USC00106230,20170503,TMIN,33,,,7,700
US1ILCP0093,20170514,SNOW,0,,,N,
USC00476413,20170522,TMAX,83,,,7,800
USC00022140,20170521,TMIN,111,,,7,1700
USC00023009,20170506,TMIN,33,,,7,1500
RSM00023929,20170509,TMAX,93,,,S,
USS0007M36S,20170509,PRCP,127,,,T,
USC00336650,20170508,PRCP,0,,,7,700
US1TXNU0012,20170510,SNOW,0,,,N,
USC00190666,20170521,SNOW,0,,,7,
USC00402108,20170520,TOBS,233,,,7,700
USC00396712,20170522,TMAX,194,,,7,1900
US1TXWA0022,20170507,PRCP,0,,,N,
USC00114400,20170531,SNWD,0,,,7,
USC00411810,20170506,PRCP,0,,,7,700
USC00475255,20170505,TMAX,183,,,7,800
US1NMDA0270,20170510,SNOW,0,,,N,
CA004024919,20170504,TMIN,21,,,C,
USC00047681,20170529,PRCP,0,,,7,800
USC00404946,20170527,SN32,161,,,7,730
USC00385633,20170514,TOBS,278,,,7,1700
CA008403800,20170507,TMIN,70,,,S,
US1WIDA0013,20170509,PRCP,58,,,N,
USR0000COAK,20170520,TMIN,56,H,,U,
USC00327450,20170525,PRCP,0,,,7,1800
ASN00012056,20170505,PRCP,0,,,a,
USW00025381,20170524,PRCP,0,,,R,
US1MIKN0065,20170525,PRCP,8,,,N,
CA005021695,20170510,TMIN,30,,,C,
US1INEL0046,20170511,PRCP,254,,,N,
US1INDL0036,20170506,PRCP,107,,,N,
US1MDCC0010,20170519,PRCP,0,,,N,
USR0000OCHL,20170514,TAVG,215,,,U,
ARM00087453,20170511,TMIN,105,,,S,
USS0013C38S,20170521,TMIN,24,,,T,
CA001157630,20170523,SNWD,0,,,C,
USC00171975,20170514,PRCP,0,,,7,700
USC00469610,20170509,SNOW,0,,,7,
USC00219249,20170505,TMAX,189,,,7,700
US1MAWR0013,20170511,SNOW,0,,,N,
USW00013729,20170506,PRCP,168,,,W,2400
ASN00083033,20170509,PRCP,0,,,a,
ASN00098025,20170506,PRCP,0,,,a,
USC00018323,20170515,TMAX,300,,,7,600
FKM00088870,20170507,TAVG,20,H,,S,
USC00417140,20170503,TMAX,272,,,7,830
ASN00009913,20170518,PRCP,0,,,a,
US1MIMB0059,20170525,PRCP,66,,,N,
PKM00041571,20170529,PRCP,99,,,S,
USC00047326,20170524,TMAX,194,,,7,1600
USR0000AGLA,20170521,TMAX,121,H,,U,
USC00023584,20170517,PRCP,0,,,7,800
CA004040587,20170527,SNWD,0,,,C,
CA008202251,20170504,WSFG,560,,,C,
USR0000GPLA,20170509,TAVG,227,,,U,
USW00094724,20170512,TMIN,28,,,W,
SWE00137946,20170516,PRCP,24,,,E,
USW00014833,20170528,TMIN,133,,,W,2400
USS0022F04S,20170507,PRCP,0,,,T,
USC00021330,20170508,TMIN,72,,,7,2200
USS0005N19S,20170526,TAVG,103,,,T,
USC00347640,20170520,SN32,183,,,7,2400
USW00004201,20170525,WDF2,20,,,W,
USW00093721,20170504,WDF2,100,,,W,
USC00029464,20170511,TMAX,333,,,7,2100
US1TNDV0157,20170531,PRCP,10,,,N,
US1AZPM0138,20170516,PRCP,0,,,N,
ASN00027058,20170502,TMAX,293,,,a,
USC00487375,20170514,TMAX,256,,,7,800
CA002402051,20170502,WDFG,27,,,C,
SWE00138676,20170509,PRCP,0,,,E,
USW00063858,20170520,TMAX,309,,,R,
USC00174183,20170513,TOBS,100,,,H,
USC00486852,20170501,SNWD,0,,,7,500
US1CASD0006,20170501,PRCP,0,,,N,
USC00324013,20170519,SNWD,0,,,7,800
USR0000NHIG,20170501,TAVG,143,,,U,
USC00248607,20170510,PRCP,0,,,7,700
USR0000CCLK,20170518,TMAX,272,H,,U,
USC00154955,20170510,TOBS,200,,,7,
BRM00083208,20170525,TAVG,264,H,,S,
USC00316676,20170527,TOBS,183,,,7,700
USC00317229,20170520,PRCP,0,,,7,2400
USW00053903,20170504,SNOW,0,,,W,
ASN00074100,20170501,PRCP,0,,,a,
SWE00139158,20170512,PRCP,0,,,E,
USC00477576,20170527,TOBS,100,,,7,800
GBM00064500,20170504,TAVG,266,H,,S,
USC00042500,20170515,TMAX,200,,,7,1700
US1MADK0005,20170512,SNWD,0,,,N,
USC00472001,20170504,TMAX,139,,,7,700
UY000086565,20170509,TAVG,149,H,,S,
PAM00086255,20170510,TAVG,195,H,,S,
USC00417717,20170504,SNWD,0,,,7,
SXM00088900,20170511,TMIN,8,,,S,
CA004068340,20170526,TAVG,99,H,,S,
USR0000MISA,20170513,TMIN,17,H,,U,
USW00023154,20170518,AWND,48,,,W,
USC00126420,20170503,TMIN,22,,,7,700
US1ALDS0001,20170518,PRCP,0,,,N,
IDM00097180,20170512,TMAX,301,,,S,
US1SCKR0004,20170528,PRCP,0,,,N,
USW00014751,20170528,WSF5,85,,,W,
US1FLSS0022,20170527,SNOW,0,,,N,
USW00054808,20170520,PRCP,265,,,R,
USW00013740,20170508,TMAX,194,,,W,2400
ASN00040823,20170505,PRCP,0,,,a,
USC00306867,20170529,TMAX,239,,,7,
US1TXBXR138,20170511,PRCP,0,T,,N,
USC00151927,20170504,SNWD,0,,,7,
USC00410408,20170512,SNOW,0,,,7,
FIE00145091,20170524,TMAX,132,,,E,
SAM00040357,20170504,TAVG,276,H,,S,
SAM00040435,20170525,TMIN,240,,,S,
SWE00138424,20170502,PRCP,0,,,E,
USC00296465,20170525,TMAX,250,,,7,1730
US1MEYK0067,20170507,WESD,0,,,N,
US1TXMNG008,20170529,PRCP,264,,,N,
USC00142459,20170516,TOBS,183,,,7,700
US1MNSR0009,20170525,PRCP,0,,,N,
NOE00111138,20170527,SNWD,0,,,E,
CA006093005,20170531,TMAX,125,,,C,
CA008206495,20170503,SNOW,0,,,C,
USC00243176,20170516,TMAX,222,,,7,1800
NOE00133566,20170525,PRCP,125,,,E,
US1MNAA0022,20170514,SNOW,0,,,N,
TUM00017056,20170501,TMIN,116,,,S,
US1CORT0056,20170508,SNWD,0,,,N,
USC00058429,20170512,TMAX,233,,,7,2400
USS0005M07S,20170502,WESD,305,,,T,
US1SDHN0008,20170508,PRCP,0,,,N,
USC00413873,20170503,TOBS,256,,,7,800
US1OKCV0126,20170528,PRCP,0,,,N,
ASN00082145,20170502,PRCP,0,,,a,
USC00020683,20170512,TMIN,94,,,7,700
CA007016816,20170520,SNOW,0,,,C,
US1NMOT0046,20170510,SNOW,0,,,N,
USC00437607,20170521,TMAX,189,,,7,2100
US1TXTV0053,20170513,PRCP,0,,,N,
US1RIWS0037,20170505,WESF,0,,,N,
US1HIKI0023,20170506,PRCP,0,,,N,
SWE00140476,20170523,PRCP,0,,,E,
USC00137702,20170501,SNOW,0,,,7,
GME00125122,20170504,PRCP,157,,,E,
US1MANF0011,20170515,WESD,0,,,N,
US1AZPM0109,20170522,SNOW,0,,,N,
US1INBL0015,20170514,PRCP,0,,,N,
USC00124181,20170502,PRCP,30,,,7,630
USC00455774,20170516,TOBS,89,,,7,800
USC00131533,20170523,TOBS,94,,,7,800
JA000047898,20170514,PRCP,0,B,,S,
USC00121417,20170528,PRCP,0,,,7,600
US1PALZ0025,20170517,PRCP,0,,,N,
USS0013E18S,20170503,TMIN,-19,,,T,
USC00307210,20170512,TOBS,83,,,7,700
RSM00030971,20170522,TMIN,-54,,,S,
US1IAKS0004,20170526,WESD,0,,,N,
US1SCGV0035,20170510,SNWD,0,,,N,
SXM00088903,20170512,TAVG,19,H,,S,
US1ORKL0018,20170518,PRCP,0,,,N,
GM000002716,20170509,TAVG,81,H,,S,
USS0011D19S,20170513,TMAX,34,,,T,
USW00023052,20170525,WDF5,240,,,W,
USR0000NWMT,20170509,TAVG,51,,,U,
USS0005M03S,20170516,SNWD,483,,,T,
USR0000CHUM,20170515,TMAX,167,H,,U,
NOE00105476,20170521,TMIN,-63,,,E,
US1ORLA0019,20170520,SNOW,0,,,N,
USS0011J46S,20170529,TOBS,56,,,T,
CA001026170,20170510,SNOW,0,,,C,
USC00178817,20170518,TMIN,128,,,7,700
RQ1PRHT0003,20170531,PRCP,28,,,N,
USC00247864,20170527,TOBS,183,,,7,1800
US1OHSN0003,20170506,SNWD,0,,,N,
USC00207312,20170516,PRCP,20,,,7,800
ASN00062084,20170506,PRCP,0,,,a,
GME00124510,20170528,TMAX,294,,,E,
RMW00040604,20170511,TMIN,278,,,W,2400
ASN00002060,20170510,PRCP,0,,,a,
US1GAMT0005,20170522,PRCP,0,,,N,
CA00615EMR7,20170510,SNWD,0,,,C,
USC00035820,20170516,PRCP,0,,,7,700
USC00126989,20170513,TMAX,217,,,7,700
USC00055531,20170502,PRCP,0,,,7,800
USW00004201,20170509,WDF5,320,,,W,
USW00053920,20170508,TMIN,128,,,W,
NLE00109210,20170503,SNWD,0,,,E,
CA001063461,20170511,PRCP,72,,,C,
RSM00030554,20170503,TAVG,9,H,,S,
USC00415667,20170511,PRCP,0,,,7,700
ASN00075044,20170531,PRCP,0,,,a,
USC00347507,20170505,TMAX,233,,,7,2400
USR0000NCAS,20170513,TMIN,100,H,,U,
CA1ON000341,20170527,SNOW,0,,,N,
CA003062246,20170526,TMIN,30,,,C,
US1NCOR0002,20170510,PRCP,81,,,N,
ASN00014817,20170524,PRCP,0,,,a,
CA006130257,20170525,PRCP,50,,,C,
US1COMZ0055,20170527,PRCP,0,,,N,
USS0008M06S,20170525,TAVG,82,,,T,
US1AZYV0123,20170504,PRCP,0,,,N,
US1IDCY0021,20170511,PRCP,0,,,N,
USC00050109,20170513,TMAX,228,,,7,800
SPE00175681,20170515,TMAX,287,,,E,
USC00416177,20170503,TMIN,100,,,7,700
RSM00022349,20170512,TMIN,-74,,,S,
ASN00010138,20170507,PRCP,0,,,a,
USC00397742,20170517,TOBS,106,,,7,2200
US1NJCM0012,20170506,PRCP,432,,,N,
ASN00082151,20170517,PRCP,0,,,a,
USW00024156,20170531,TMAX,317,,,W,2400
USW00053872,20170520,WSF2,54,,,W,
USC00393029,20170530,TMIN,50,,,7,800
US1ORBN0117,20170517,WESF,0,,,N,
ASN00037010,20170514,TMIN,115,,,a,
USW00013896,20170512,SNWD,0,,,H,
USC00052965,20170506,SNOW,0,,,7,
USC00391579,20170510,SNWD,0,,,7,
USW00014820,20170509,WDF2,10,,,W,
USW00024234,20170516,PGTM,222,,,W,
SWE00138978,20170505,PRCP,0,,,E,
US1NMGR0057,20170520,PRCP,0,,,N,
USC00246236,20170516,TMIN,-50,,,7,1700
US1FLLK0021,20170507,PRCP,0,,,N,
USC00147397,20170510,TMIN,106,,,7,800
SWE00161923,20170502,PRCP,0,,,E,
